DriverID,FirstName,LastName,ContactInformation,DepotID,LicenceType,LicenceExpiryDate,EmploymentStatus,EmergencyContactDetails
46,Do,Huu Duc,652.490.4228,6,Heavy Vehicle Licence,2026-06-16,Active,Sean Anderson (339)950-2402x681
47,Le,Thi Thu,958.291.7839x084,6,Standard Licence,2028-03-13,Active,John Morales +1-717-871-1592x12499
48,Vo,Ngoc Anh,+1-984-578-9611x836,4,Standard Licence,2026-08-01,Active,Ronald Ross 001-815-365-4527x1111
49,Phan,Thi Nhung,001-252-680-9885x1656,3,Heavy Vehicle Licence,2027-12-07,Suspended,
50,Vu,Xuan Truong,+1-745-319-8327x315,4,Standard Licence,2025-09-08,Active,Laura Aguirre +1-699-680-9402
51,Vu,Quoc Tuan,850-922-9612x01836,6,Heavy Vehicle Licence,2027-09-18,Terminated,Jacob Griffith 001-999-810-2290x14767
52,Cao,Van Long,238-515-6149x784,7,Standard Licence,2029-01-03,Active,Kyle Smith 532-744-5107x6226
53,Hoang,Huu Duc,860-860-7159,2,Standard Licence,2027-05-01,Active,Jennifer Wilson 5528975161
54,Cao,Thi Huong,001-468-316-4535,7,Standard Licence,2027-11-03,Active,Ashley Hicks 001-955-923-1243x29212
55,Mai,Ngoc Anh,001-699-279-9552x71774,3,Standard Licence,2029-04-12,Active,Benjamin Murray 8059411998
56,Truong,Thi Huong,001-480-279-3597,1,Heavy Vehicle Licence,2027-09-04,Active,
57,Dinh,Thi Hoa,415.718.2037x788,7,Standard Licence,2028-06-02,Suspended,Douglas Ortiz 390-451-5186x44925
58,Mai,Thi Thu,(346)829-1486x528,4,Heavy Vehicle Licence,2027-03-15,Active,Alicia Parker 357.233.2214
59,Ha,Quoc Bao,+1-759-529-6222x92706,2,Heavy Vehicle Licence,2028-07-11,On Leave,Lisa Goodwin 838.834.7359x774
60,Mai,Van Nam,,8,Standard Licence,2025-11-23,Active,Ruth Solis (640)375-8181
61,Bui,Minh Khoa,001-824-778-2613x75060,8,Standard Licence,2025-11-04,Active,Zachary Brooks 4519522047
62,Ha,Minh Khoa,390.610.4328x986,4,Heavy Vehicle Licence,2026-12-28,Suspended,Bryan Allen +1-697-811-7980x8932
63,Tran,Thi Dung,7953396218,4,Standard Licence,2026-10-27,Active,Kimberly Hartman 380.767.0654x05153
64,Ha,Xuan Truong,,5,Standard Licence,2027-04-21,On Leave,
65,Bui,Thi Huong,(405)385-2772,1,Standard Licence,2027-12-20,Active,Terri Johnson 903.605.4868
66,Hoang,Thi Dung,8348505415,8,Heavy Vehicle Licence,2027-11-12,Terminated,Stephanie Hughes (877)458-4161
67,Vo,Xuan Truong,+1-845-411-5447,7,Standard Licence,2026-03-08,Active,Heather Williams (996)240-1658x202
68,Ngo,Duc Hung,(413)955-6909,8,Standard Licence,2026-03-08,Active,Jacqueline Hines 001-228-456-5431
69,Do,Huu Duc,386.481.4473x9473,6,Standard Licence,2027-03-02,Active,Jodi Roach 515.351.8844x225
70,Pham,Quoc Tuan,923.470.5895,1,Standard Licence,2025-12-07,Active,Angelica Parker 001-778-466-9125x177
71,Do,Ngoc Anh,001-789-522-6801x82422,3,Standard Licence,2026-10-18,Active,Todd Jacobson 343-484-2498
72,Tran,Van Long,001-292-329-9590,3,Standard Licence,2029-05-21,Active,Martin Ray +1-639-969-0784x4736
73,Le,Thi Huong,402-776-7735,8,Standard Licence,2026-11-10,On Leave,Emma Travis (962)558-8153x714
74,Hoang,Thi Hoa,(710)746-9632,7,Standard Licence,2026-05-03,Active,Christopher Ferrell 774.270.1687x339
75,Hoang,Van Long,8474974801,5,Heavy Vehicle Licence,2027-09-21,Active,Monica Gallagher (906)609-8358x416
76,Cao,Ngoc Anh,+1-891-221-6558x523,1,Standard Licence,2025-07-08,Active,Chad Cook 687.729.8259x5269
77,Le,Quoc Bao,288.979.4705x51694,4,Standard Licence,2028-02-22,Active,Matthew Stanton 001-893-409-7289
78,Dang,Xuan Truong,+1-930-291-3075x62636,3,Standard Licence,2027-06-05,Active,Kelly Hoffman +1-578-565-2785x85497
79,Vu,Van Hai,684-634-4375x758,5,Standard Licence,2025-10-23,Active,Michael James (652)640-4157x4733
80,Truong,Van Long,(519)293-3083,4,Standard Licence,2025-07-29,Active,Gary Kennedy +1-520-282-6773x45401
81,Ho,Thi Huong,(262)606-7240,6,Standard Licence,2025-09-23,Suspended,Ashley Bird 978-687-2874x3152
82,Nguyen,Thi Dung,001-720-354-9329x668,2,Standard Licence,2028-04-20,Active,Brandon Holden 253.604.6374x5499
83,Vo,Thi Nhung,+1-753-501-7426x8414,5,Heavy Vehicle Licence,2027-11-23,Active,Casey Hernandez 001-795-368-7833x9187
84,Do,Duc Hung,001-410-788-3982,2,Standard Licence,2027-03-21,Active,
85,Do,Thi Nhung,971.239.7187x07286,2,Standard Licence,2028-12-13,Active,Megan Parker 7643039106
86,Do,Ngoc Anh,+1-801-770-4622,1,Standard Licence,2028-03-15,Active,Janet Kane DVM (218)625-1286x8230
87,Phan,Minh Khoa,386.286.3375x243,5,Standard Licence,2028-08-05,Active,Jennifer Miranda 2335119079
88,Bui,Van Hai,001-706-773-8302x8439,7,Standard Licence,2027-07-17,Suspended,Shawn Odom 836.744.0892x68705
89,Ha,Ngoc Anh,001-466-924-6287x334,8,Standard Licence,2025-12-21,Active,Kristina Faulkner +1-982-763-4351
90,Vo,Van Minh,383-504-6990,4,Heavy Vehicle Licence,2026-04-23,Active,Laurie Powers 973.554.0331
91,Tran,Thi Yen,001-693-663-8546x785,3,Standard Licence,2026-07-03,Terminated,Stephen Owens 001-875-635-5609x3204
92,Le,Thi Dung,(735)636-9378,5,Standard Licence,2027-06-16,On Leave,Katherine Cummings 001-277-325-2287x2808
93,Duong,Duc Hung,+1-900-962-3120x38750,1,Standard Licence,2028-07-21,Active,Joseph Jenkins 3843840862
94,Ngo,Van Nam,523.539.8454x61567,1,Standard Licence,2028-03-22,Active,Ronald Miller +1-801-766-6870x0217
95,Mai,Thi Mai,001-218-303-3974,4,Standard Licence,2028-06-05,Active,Diana Daniels +1-802-750-3926x14293
96,Nguyen,Van Long,(821)785-0163x1599,6,Standard Licence,2025-09-18,Active,Donald Riddle 335.386.6296x1943
97,Hoang,Xuan Truong,726-626-5511x047,1,Standard Licence,2028-06-02,Active,
98,Le,Thi Dung,821-326-7888,8,Standard Licence,2027-10-01,Active,Hector Davis +1-456-804-6618x398
99,Hoang,Thi Mai,(824)644-7212,7,Standard Licence,2026-01-04,Active,
100,Dinh,Xuan Truong,(647)215-4379x93712,6,Standard Licence,2027-06-29,Active,Evelyn Oliver 775-669-2459x37526
101,Dinh,Quoc Tuan,001-479-235-6465x1939,3,Heavy Vehicle Licence,2026-04-03,Active,Julia Erickson 341.967.2434x266
102,Bui,Quoc Bao,+1-379-368-8680x589,8,Heavy Vehicle Licence,2027-05-23,Terminated,Mary Kelly +1-590-996-5610x1438
103,Hoang,Duc Hung,(367)398-2507x146,6,Heavy Vehicle Licence,2026-11-13,Active,Monica Bailey 373-287-5717x75140
104,Duong,Quoc Tuan,412-438-2825x86736,1,Standard Licence,2026-08-21,On Leave,Jessica Johnson +1-337-496-6033x419
105,Nguyen,Thi Lan,(853)371-4785x969,2,Standard Licence,2026-06-12,Active,Ryan Williamson +1-849-891-2513x41252
106,Ha,Thi Dung,+1-629-466-2782x827,2,Heavy Vehicle Licence,2029-03-12,Active,Ryan Harvey (907)923-6887x676
107,Le,Huu Duc,(619)403-4043,3,Standard Licence,2028-02-24,Active,Krystal Barton 588.819.1485x8078
108,Nguyen,Van Long,334-507-4517,8,Heavy Vehicle Licence,2027-11-16,Active,Oscar Norris 001-696-429-2330x958
109,Tran,Minh Tuan,444-794-8126x04223,3,Heavy Vehicle Licence,2028-02-29,Active,Pam Lowe 929.946.6711x6845
110,Le,Xuan Truong,790-617-5186x36374,1,Standard Licence,2028-05-07,Active,Kenneth Knight 550.401.7012x7706
111,Duong,Minh Khoa,+1-542-841-5415x2064,1,Heavy Vehicle Licence,2029-03-13,Active,Michele Smith 912.393.8700x5162
112,Nguyen,Huu Duc,861.411.5542,3,Standard Licence,2027-03-06,Active,
113,Ha,Thi Mai,,6,Heavy Vehicle Licence,2025-07-02,Active,Megan Jones 001-909-527-5326
114,Ha,Van Long,412-519-6565,4,Standard Licence,2025-12-22,Active,Bradley Tran +1-294-504-3898x364
115,Ngo,Thi Dung,861.737.9180x5526,1,Standard Licence,2027-09-03,Suspended,
116,Phan,Thi Hoa,+1-527-210-9104,5,Heavy Vehicle Licence,2028-06-03,Active,Tiffany Sanders 386-566-1889x2414
117,Cao,Van Nam,(285)569-1463,6,Standard Licence,2025-08-31,Active,Jeffrey Chavez +1-604-421-0202x758
118,Nguyen,Thi Huong,(324)910-5648x149,1,Heavy Vehicle Licence,2027-06-23,Active,Ian Porter 001-225-224-1913
119,Duong,Thi Dung,8305756220,6,Heavy Vehicle Licence,2026-01-25,Active,Jason Cortez 319-951-8023x806
120,Ho,Ngoc Anh,545-918-7053x4949,8,Heavy Vehicle Licence,2028-02-10,On Leave,Wesley Cuevas 001-838-632-0603x85050
121,Duong,Thi Thu,338-236-7024,3,Heavy Vehicle Licence,2026-11-30,Active,Stephanie Meyer 001-257-819-1826x199
122,Ha,Thi Lan,+1-423-344-5655x74313,7,Heavy Vehicle Licence,2028-11-15,Active,
123,Truong,Thi Huong,(712)577-5618,2,Heavy Vehicle Licence,2028-10-31,Active,John Phelps 524-790-3521
124,Dinh,Van Minh,(980)344-2067x8831,6,Heavy Vehicle Licence,2026-02-27,Active,Brenda Smith 001-932-436-5199x41013
125,Duong,Quoc Tuan,851-907-0296,1,Standard Licence,2025-09-01,Active,
126,Pham,Thi Hoa,9664253244,7,Standard Licence,2028-09-21,Suspended,Manuel Sanchez 576-287-0146x2638
127,Do,Van Minh,(757)587-5985x6420,1,Standard Licence,2026-01-27,Active,Robert Campbell 885.793.2133x4803
128,Ho,Minh Tuan,,2,Standard Licence,2026-01-30,Active,Wendy Thompson 495.559.0599
129,Phan,Thi Lan,984.227.0103x9308,7,Standard Licence,2029-01-24,Active,
130,Do,Thi Thu,793-325-2500x29218,5,Standard Licence,2028-09-09,Active,Tom Foster 454-752-2675
131,Nguyen,Thi Nhung,892.264.4220,6,Standard Licence,2025-12-19,Terminated,Evan Lamb +1-339-717-2513x552
132,Do,Duc Hung,904.833.1541x006,3,Standard Licence,2026-10-27,Active,Stacey Snyder (258)761-7932x7104
133,Le,Thi Yen,911-252-6218x159,5,Standard Licence,2029-05-14,Active,
134,Dinh,Xuan Truong,(629)662-0153x36884,8,Standard Licence,2027-02-20,Active,Anthony Armstrong 520.450.6149x7310
135,Ngo,Thi Yen,+1-441-771-4677x4186,2,Standard Licence,2026-03-16,Suspended,Jaclyn Griffin 877-543-4902x115
136,Mai,Thi Hoa,+1-906-686-8793,7,Standard Licence,2028-08-04,Active,Steven Klein 898.399.2172x23320
137,Pham,Quoc Tuan,+1-663-929-4511x68685,3,Standard Licence,2025-11-09,Active,
138,Ly,Van Nam,,2,Heavy Vehicle Licence,2028-01-14,Terminated,Alexandria Graves 001-386-316-2299
139,Duong,Thi Yen,001-914-285-6467,2,Standard Licence,2026-01-14,Active,Jamie Montgomery +1-660-965-3074x50544
140,Pham,Thi Nhung,001-913-524-7546x913,7,Standard Licence,2025-09-24,Suspended,Jennifer Washington 550.582.1486x28902
141,Do,Thi Yen,9308705345,2,Heavy Vehicle Licence,2026-04-03,Active,Becky Johnson (379)672-7985x524
142,Phan,Xuan Truong,6608293333,1,Standard Licence,2028-04-24,Suspended,Sharon Coffey +1-707-922-9034x94466
143,Dang,Thi Lan,637-648-9691x085,6,Standard Licence,2025-07-28,Active,
144,Bui,Thi Hoa,+1-217-815-4544x43283,5,Standard Licence,2027-05-12,Terminated,Melanie Griffith +1-974-746-6609x9353
145,Bui,Thi Nhung,542.782.4172x48251,6,Heavy Vehicle Licence,2028-02-23,Active,Seth Fisher 554-394-7170x99917
146,Tran,Van Hai,+1-768-446-0223x56972,6,Standard Licence,2028-05-18,Active,Katherine Welch (450)907-4329
147,Phan,Van Nam,001-712-296-6667x60083,1,Standard Licence,2028-08-07,Active,Nicole Schmidt 6034354216
148,Bui,Minh Khoa,804-447-8985,4,Standard Licence,2027-09-07,On Leave,Steven Howard 426.303.3230
149,Truong,Minh Tuan,(306)848-9090x100,6,Heavy Vehicle Licence,2027-01-07,Active,Caleb King 001-823-304-6184x992
150,Do,Van Minh,891.641.1739x34835,2,Standard Licence,2027-02-10,Active,Joshua Lozano 001-375-330-0119x721
151,Vu,Xuan Truong,737-844-7012x045,4,Heavy Vehicle Licence,2026-11-26,On Leave,Anna Chang 3027255794
152,Hoang,Ngoc Anh,421-366-7467x62120,8,Heavy Vehicle Licence,2025-09-17,Active,Kevin Pham +1-272-396-5902x77167
153,Ly,Van Long,850-589-9358x891,5,Standard Licence,2029-04-07,Active,Mr. Martin Hernandez +1-390-902-8772
154,Ha,Quoc Bao,935-340-8386x63177,7,Standard Licence,2029-02-27,Terminated,
155,Do,Quoc Bao,375.617.0166x0880,5,Heavy Vehicle Licence,2028-12-28,Active,
156,Vu,Thi Huong,783.975.5037x58997,5,Standard Licence,2027-02-15,Active,
157,Ho,Thi Huong,713-305-5488,7,Heavy Vehicle Licence,2029-01-09,Terminated,Christopher Taylor 001-761-349-3316x373
158,Tran,Thi Dung,001-860-991-7798x27080,7,Standard Licence,2027-12-06,Suspended,Priscilla Kent 001-592-621-6995x866
159,Ngo,Van Hai,(554)572-2698x4858,8,Standard Licence,2028-08-28,Active,Miguel Parks +1-622-888-5158x79968
160,Hoang,Xuan Truong,6814062003,8,Heavy Vehicle Licence,2026-03-17,On Leave,Miss Brianna Brown 638-205-7198x3863
161,Dang,Minh Khoa,(566)558-0043x9735,2,Standard Licence,2027-07-18,Active,Christopher Fleming (628)416-0648
162,Dinh,Quoc Bao,(794)205-7202,5,Heavy Vehicle Licence,2028-12-11,Terminated,Lori Cameron 479-885-1583x2818
163,Vo,Quoc Bao,+1-786-615-3355,4,Heavy Vehicle Licence,2025-07-28,Active,Paul Moreno +1-201-757-3993
164,Vu,Huu Duc,(216)648-4085x8877,3,Standard Licence,2026-07-04,Suspended,
165,Truong,Huu Duc,+1-835-381-1288x0133,2,Heavy Vehicle Licence,2026-09-03,Active,Ronald Johns 001-361-520-7501x1024
166,Ha,Ngoc Anh,366-276-6506x180,3,Standard Licence,2026-11-01,Active,Angel Reilly 244-991-4766
167,Duong,Van Minh,(783)226-8424,8,Standard Licence,2028-01-25,Active,Kristen Martinez 7995688143
168,Nguyen,Van Minh,(982)322-3943x12908,4,Heavy Vehicle Licence,2028-08-21,Active,Austin Garcia 001-997-955-2314x9135
169,Vo,Thi Dung,594-892-9955x62053,7,Heavy Vehicle Licence,2026-03-28,Active,Ian Frazier 577-675-4781x29142
170,Ly,Thi Huong,001-611-908-0996x9308,6,Standard Licence,2028-07-30,Active,Brittany Long 001-494-427-8816x58039
171,Dang,Thi Mai,322.699.2750x373,1,Standard Licence,2027-12-04,Active,Andrew Clark (467)870-0518x449
172,Tran,Van Long,+1-965-991-8463x8655,6,Standard Licence,2026-05-09,Active,Adriana Macias 323.518.4322x259
173,Nguyen,Thi Lan,(451)477-7392x60302,2,Standard Licence,2025-12-06,Active,Amanda Armstrong 6243286990
174,Nguyen,Thi Thu,479.477.2369,4,Standard Licence,2026-07-09,Active,Kayla Jackson +1-857-499-1366x21038
175,Pham,Van Hai,+1-412-279-9088x117,7,Standard Licence,2026-06-06,Active,Patricia Banks 465.608.6376x59916
176,Bui,Van Hai,,4,Heavy Vehicle Licence,2029-01-28,Active,David Trevino 898-564-3009x8180
177,Truong,Huu Duc,001-756-651-2694x486,4,Standard Licence,2025-07-03,Active,Jennifer Harris DDS +1-772-858-8744
178,Hoang,Duc Hung,001-221-437-2138x6589,8,Heavy Vehicle Licence,2029-05-31,Active,Mark Brock (379)261-1435
179,Do,Xuan Truong,001-666-598-4902x7703,8,Standard Licence,2026-12-16,Active,Kyle Black 692.805.3021
180,Ly,Quoc Bao,(766)793-8011x848,6,Heavy Vehicle Licence,2027-09-06,Active,Destiny Obrien 376.390.4268
181,Dinh,Minh Tuan,745.918.4894x76973,6,Standard Licence,2027-07-04,Active,Stephanie Atkins 614.516.3356x5880
182,Bui,Van Long,416-551-8275x5394,8,Standard Licence,2027-11-27,Active,Mr. Nicolas Salas II 239.252.1117
183,Tran,Ngoc Anh,459.257.9472x8463,3,Standard Licence,2026-04-18,Suspended,Jenny Ayers 7852627187
184,Ngo,Minh Tuan,4366915594,7,Standard Licence,2029-02-01,Terminated,John Austin (427)563-6556x472
185,Pham,Thi Nhung,943-286-6322,8,Heavy Vehicle Licence,2028-05-15,Active,Jonathan Cowan +1-288-557-4489x0612
186,Ho,Van Hai,271-875-4558x845,4,Standard Licence,2028-08-08,Suspended,Sean Mccarty 999.982.4558
187,Hoang,Thi Yen,869-347-2256,7,Standard Licence,2027-08-08,Suspended,Greg Edwards +1-444-296-4759x8762
188,Phan,Duc Hung,(334)913-2611,8,Standard Licence,2028-04-17,Active,Allison Sanders 001-411-449-2164x33472
189,Duong,Thi Mai,9054577848,7,Heavy Vehicle Licence,2025-06-16,Active,Melissa Thompson +1-979-668-8457x831
190,Pham,Thi Hoa,(264)924-0082x547,6,Standard Licence,2028-03-02,Active,Karen Smith (849)830-8536x86632
191,Cao,Minh Tuan,641.863.8944,2,Standard Licence,2025-08-30,On Leave,Barry Taylor 279-474-9735
192,Tran,Thi Mai,2805214427,6,Standard Licence,2027-07-29,Active,Adrian Robinson (947)457-0512x04618
193,Dinh,Quoc Bao,246.501.3673,6,Standard Licence,2029-05-06,Terminated,Ray Boyd 376.645.2088
194,Pham,Thi Lan,343.850.3136x5024,6,Standard Licence,2027-04-19,Active,Alexa Williams 001-279-225-1327x195
195,Cao,Van Nam,(228)812-7358x573,5,Heavy Vehicle Licence,2026-04-06,Active,Chad Roach 678.448.7392x8557
196,Ly,Thi Lan,,2,Heavy Vehicle Licence,2027-07-23,Terminated,Christopher Phillips 585-770-8620x959
197,Truong,Van Minh,001-718-363-8782x9456,3,Heavy Vehicle Licence,2029-05-09,Active,Matthew Williams (820)931-7310
198,Ha,Ngoc Anh,299.740.5391x03717,3,Standard Licence,2028-07-06,Active,Teresa Perry (309)548-0141x381
199,Ly,Minh Tuan,,7,Standard Licence,2027-06-20,Active,Chelsey Fox 992.888.6195
200,Hoang,Thi Nhung,922-786-8528,3,Heavy Vehicle Licence,2028-03-14,On Leave,Krista Shea (766)959-3983x684
201,Vu,Van Nam,560.504.9082x404,4,Heavy Vehicle Licence,2028-10-06,Active,Alison Short 001-448-488-9921x075
202,Vo,Thi Yen,359-733-4419x693,3,Heavy Vehicle Licence,2029-04-22,Active,Carrie Petersen 001-891-894-0961x055
203,Mai,Thi Thu,739-406-0480,7,Heavy Vehicle Licence,2028-12-05,Active,Michael Hernandez +1-367-999-8136x46225
204,Tran,Van Nam,001-408-464-1686,1,Standard Licence,2025-06-11,Active,
205,Vu,Thi Yen,683.876.9389x8331,5,Standard Licence,2026-01-04,Active,Thomas Davis +1-966-455-3559x04259
206,Dang,Van Hai,603.235.2110x392,7,Heavy Vehicle Licence,2026-12-02,Active,Robert Torres 405.238.3388x4879
207,Mai,Thi Lan,(298)304-2043x9407,6,Standard Licence,2027-12-31,Active,Devon Christian +1-351-404-6368x15798
208,Ngo,Thi Dung,787.980.0384,4,Heavy Vehicle Licence,2028-02-23,Suspended,Christopher Reed (554)438-4046x084
209,Le,Ngoc Anh,,3,Heavy Vehicle Licence,2028-03-06,On Leave,James Taylor 001-968-493-6392x6495
210,Phan,Thi Dung,829.483.2482,3,Standard Licence,2027-02-22,Active,Krystal Moore 888-812-5205
211,Cao,Thi Lan,574-523-1220x9949,6,Heavy Vehicle Licence,2026-07-10,Terminated,Alexander Miller 001-572-289-7526x77223
212,Le,Huu Duc,(504)863-3312x79757,6,Standard Licence,2028-11-14,Active,Andrew Moss (256)599-9880x8177
213,Le,Minh Khoa,986.408.6803x47644,7,Heavy Vehicle Licence,2028-09-15,Active,Louis Brown 927.271.8129x82665
214,Mai,Van Minh,(379)337-1452,8,Standard Licence,2029-02-16,Active,Jerry Cox 468.492.6860x25922
215,Tran,Huu Duc,001-206-944-7421x23094,4,Heavy Vehicle Licence,2029-02-22,Active,Mr. Robert Franklin MD 297.576.7199
216,Vo,Van Hai,+1-749-283-0220,6,Standard Licence,2028-07-23,Active,Andrew Lane +1-445-910-1622x499
217,Phan,Thi Yen,001-695-901-4556x1681,2,Standard Licence,2026-02-14,Terminated,Michael Hill 868.733.9019x81794
218,Vu,Thi Yen,489-595-2997x877,2,Standard Licence,2028-01-15,Active,Veronica Smith 7715396605
219,Dinh,Huu Duc,7342414488,1,Heavy Vehicle Licence,2026-07-10,Active,Gary Foster 001-290-423-5577
220,Bui,Thi Nhung,227.585.7608x4958,4,Heavy Vehicle Licence,2028-11-19,Terminated,Evelyn Hendricks (412)340-5682x996
221,Cao,Duc Hung,001-645-404-6173x57438,1,Standard Licence,2026-04-29,Suspended,Richard Strickland 978-607-8235
222,Do,Thi Thu,001-252-318-2307x68104,2,Heavy Vehicle Licence,2028-06-24,Active,Stephen Garcia 001-340-694-3533x44857
223,Truong,Ngoc Anh,(524)710-9881,1,Standard Licence,2029-05-14,Active,Denise Harding 993-221-4958x7020
224,Do,Minh Khoa,,3,Heavy Vehicle Licence,2027-04-26,Active,Anthony Simmons (399)979-5453
225,Mai,Thi Yen,,7,Standard Licence,2025-09-09,Active,Anna Lang 001-771-874-7733x294
226,Vo,Thi Huong,(755)977-0171,7,Heavy Vehicle Licence,2026-11-06,Active,Christopher Tate +1-992-881-6158x148
227,Mai,Quoc Tuan,001-363-793-8276,1,Standard Licence,2028-11-03,Active,Michael Reynolds (395)983-2197x19975
228,Ho,Minh Khoa,(946)219-1965,8,Standard Licence,2028-12-01,Terminated,Robert Clay 001-602-627-8469x97335
229,Truong,Quoc Tuan,(251)790-9862x40580,6,Standard Licence,2025-06-14,Terminated,Douglas Johnson (896)756-6668x32723
230,Ly,Ngoc Anh,(824)922-0102x76212,6,Standard Licence,2027-09-15,Active,Melissa Conrad +1-227-986-8765x326
231,Hoang,Huu Duc,001-338-946-8950x0975,6,Heavy Vehicle Licence,2027-03-19,Active,Angela Cross 247.781.8913x71894
232,Cao,Duc Hung,+1-707-678-7956,3,Heavy Vehicle Licence,2026-04-09,Active,
233,Le,Van Minh,620-294-9407x9290,2,Standard Licence,2029-03-05,Terminated,Bradley Wagner 442-994-4401x929
